47.3979711,8.5461633,0.005,274.28,1756915025.7467375
47.3979712,8.5461635,-0.001,274.29,1756915026.3563752
47.3979712,8.5461635,0.0,274.29,1756915026.9781575
47.3979712,8.5461636,0.007,274.3,1756915027.3963976
47.3979712,8.5461638,0.019,274.31,1756915028.0112197
47.3979712,8.5461638,0.02,274.31,1756915028.4220622
47.3979712,8.5461637,0.023,274.29,1756915029.038212
47.3979712,8.5461636,0.05,274.29,1756915029.4460747
47.3979712,8.5461636,0.081,274.28,1756915030.0568802
47.3979712,8.5461636,0.098,274.28,1756915030.4612525
47.3979712,8.5461636,0.108,274.27,1756915031.0779088
